((1, 1), (2, 2), (8, 5), (13, 10), (76, 50))
((1, 1), (2, 2), (16, 5), (4, 10), (77, 50))
((1, 1), (7, 2), (8, 5), (7, 10), (77, 50))
((1, 1), (12, 2), (8, 5), (1, 10), (78, 50))
((2, 1), (4, 2), (3, 5), (15, 10), (76, 50))
((2, 1), (4, 2), (11, 5), (6, 10), (77, 50))
((2, 1), (9, 2), (3, 5), (9, 10), (77, 50))
((2, 1), (14, 2), (3, 5), (3, 10), (78, 50))
((3, 1), (1, 2), (6, 5), (14, 10), (76, 50))
((3, 1), (1, 2), (14, 5), (5, 10), (77, 50))
((3, 1), (6, 2), (6, 5), (8, 10), (77, 50))
((3, 1), (11, 2), (6, 5), (2, 10), (78, 50))
((4, 1), (3, 2), (1, 5), (16, 10), (76, 50))
((4, 1), (3, 2), (9, 5), (7, 10), (77, 50))
((4, 1), (8, 2), (1, 5), (10, 10), (77, 50))
((4, 1), (8, 2), (9, 5), (1, 10), (78, 50))
((4, 1), (13, 2), (1, 5), (4, 10), (78, 50))
((5, 1), (5, 2), (4, 5), (9, 10), (77, 50))
((5, 1), (10, 2), (4, 5), (3, 10), (78, 50))
((6, 1), (2, 2), (7, 5), (8, 10), (77, 50))
((6, 1), (7, 2), (7, 5), (2, 10), (78, 50))
((7, 1), (4, 2), (2, 5), (10, 10), (77, 50))
((7, 1), (4, 2), (10, 5), (1, 10), (78, 50))
((7, 1), (9, 2), (2, 5), (4, 10), (78, 50))
((8, 1), (1, 2), (5, 5), (9, 10), (77, 50))
((8, 1), (6, 2), (5, 5), (3, 10), (78, 50))
((9, 1), (3, 2), (8, 5), (2, 10), (78, 50))
((10, 1), (5, 2), (3, 5), (4, 10), (78, 50))
((11, 1), (2, 2), (6, 5), (3, 10), (78, 50))
((12, 1), (4, 2), (1, 5), (5, 10), (78, 50))
((13, 1), (1, 2), (4, 5), (4, 10), (78, 50))
((1, 1), (2, 2), (12, 5), (51, 10), (34, 100))
